.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR29282889	1	0.25	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29282890	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29282891	1	0.25	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29282892	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR29282893	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR29282894	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR29282895	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR29282896	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR29282897	1	0.25	1	1	0.25	1	1	1	0.25	0.25	1
SRR29282898	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29282899	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29282900	1	0.25	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29282901	1	0.5	0.5	1	0.25	0.5	1	1	0.25	0.25	1
SRR29282902	1	0.5	0.5	1	0.25	0.5	1	1	0.25	0.25	1
