Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR29282889	6.7530484167322875	78.94623809864694
SRR29282890	10.659439927732612	77.53008712882828
SRR29282891	9.256539266852089	77.3305415794243
SRR29282892	7.481411305371344	76.30982114661384
SRR29282893	7.048975957257346	75.78272484416745
SRR29282894	13.340312358533273	71.22566772295153
SRR29282895	12.521364345693692	72.41955859404028
SRR29282896	8.418074776359049	75.94235033259429
SRR29282897	6.810840135131803	80.57850220698836
SRR29282898	25.86149064156175	62.91732820501354
SRR29282899	21.903421394543095	66.77403637938497
SRR29282900	17.94390329773501	70.38199741814344
SRR29282901	7.808135177488587	77.15473189343871
SRR29282902	15.166036000990205	70.34515684124908
