Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR29282889	(1, 36.713078960555514)	(2, 30.33629226620851)	(3, 36.78237525950318)	(4, 35.14221967690362)	(5, 36.88087908941227)	(6, 36.79392464266113)	(7, 36.88865821939056)	(8, 36.92029971126542)	(9, 35.91407163481041)	(12, 36.8651585653948)	(17, 36.86059608180018)	(22, 36.7877013386785)	(27, 36.5830863578877)	(32, 36.67294246784546)	(37, 36.781277590855936)	(42, 36.77832820292552)	(47, 36.76606294891069)	(52, 36.712191280692956)	(57, 36.72736774285919)	(62, 36.620254372777815)	(67, 36.62869210394445)	(72, 36.50167752404133)	(77, 36.06064380652397)	(82, 36.56308015367362)	(87, 36.276435917627126)	(92, 36.56044574892022)	(97, 36.23125014913977)	(102, 36.32786407998664)	(107, 36.46485312716253)	(112, 35.981936192044294)	(117, 36.013825852482874)	(122, 36.05049753024554)	(127, 36.06954923998377)	(132, 35.60095926694824)	(137, 35.97645739375284)	(142, 35.77370367718997)	(147, 35.40253895530579)	(152, 35.87774357505906)	(157, 35.71233922733673)	(162, 35.8507600162264)	(167, 35.43917245328943)	(172, 35.37650034600425)	(177, 35.465411506430904)	(182, 34.59912186508221)	(187, 35.12615553487484)	(192, 34.72563056291311)	(197, 34.897716371966496)	(202, 34.03606557377049)	(207, 34.18121554871501)	(212, 34.54974586584579)	(217, 33.29347841649367)	(222, 33.125859641587326)	(227, 33.50331448206744)	(232, 32.36267449352137)	(237, 30.71976996683132)	(242, 31.8242727945212)	(247, 31.772128761304792)	(252, 28.465196745173834)	(257, 23.948757964063283)	(262, 26.180824205979906)	(267, 23.062032595986352)	(272, 26.722289832247593)	(277, 27.408609540172286)	(282, 21.661178323430455)	(287, 23.4866871882979)	(292, 24.387405445390986)	(297, 25.890323812250934)	(300, 36.484334359414895)
SRR29282890	(1, 36.78005070373285)	(2, 29.166448116094063)	(3, 36.63097007314159)	(4, 33.58519101320046)	(5, 36.80225544190926)	(6, 36.70976483958388)	(7, 36.86036075414518)	(8, 36.907742518285396)	(9, 35.72920127050733)	(12, 36.82263018329108)	(17, 36.80494798496372)	(22, 36.74704082524696)	(27, 36.47840428941924)	(32, 36.53529737447912)	(37, 36.64993443482822)	(42, 36.71185126905032)	(47, 36.69704811026605)	(52, 36.49457120377655)	(57, 36.575067750677505)	(62, 36.35228603898942)	(67, 36.01790949092286)	(72, 36.36387213334499)	(77, 35.957193227846254)	(82, 36.18934638808754)	(87, 36.13108954745461)	(92, 36.2064574409185)	(97, 35.91481190080718)	(102, 36.14551971326165)	(107, 36.26108925605385)	(112, 35.588512981904)	(117, 35.43271847772242)	(122, 35.81974531573273)	(127, 35.547996619751146)	(132, 35.48802634262902)	(137, 35.39256345251624)	(142, 35.09553282629601)	(147, 34.47191188040912)	(152, 35.32115860943556)	(157, 34.69379607774572)	(162, 35.103388990879154)	(167, 34.41451758603608)	(172, 34.42476323687968)	(177, 34.41281580557741)	(182, 33.419418946877634)	(187, 33.967124165865314)	(192, 33.344575574788)	(197, 34.02371419413119)	(202, 32.478719002243785)	(207, 32.43701372497596)	(212, 33.0641081679634)	(217, 31.656211207273362)	(222, 31.556517178075005)	(227, 31.289815543316724)	(232, 31.519299472564615)	(237, 29.469749686744183)	(242, 30.48050237491622)	(247, 30.134679604860565)	(252, 27.642876708336978)	(257, 23.06304746918437)	(262, 24.432689337646064)	(267, 22.430777748637702)	(272, 26.21582888947169)	(277, 26.096447824693296)	(282, 21.08849258385057)	(287, 23.97501529854008)	(292, 24.138234694174898)	(297, 26.58745811114025)	(300, 36.36532913716234)
SRR29282891	(1, 36.74024188255883)	(2, 30.182599456233007)	(3, 36.74042938841839)	(4, 35.084002625082036)	(5, 36.866558329947814)	(6, 36.787680865027035)	(7, 36.8979343104472)	(8, 36.92356011125348)	(9, 35.85715178599331)	(12, 36.877171161598795)	(17, 36.861283165098904)	(22, 36.78935591737242)	(27, 36.555336104253264)	(32, 36.655976749273414)	(37, 36.803168849026534)	(42, 36.77471795993625)	(47, 36.7491671614738)	(52, 36.66766461451921)	(57, 36.67865245788931)	(62, 36.6062501953186)	(67, 36.617025532047876)	(72, 36.53781055657989)	(77, 35.98386824588269)	(82, 36.27533985437044)	(87, 36.01386918341198)	(92, 36.519122472577266)	(97, 36.016319259976875)	(102, 36.317628675896124)	(107, 36.24382636957405)	(112, 35.833901059408106)	(117, 35.68060876902403)	(122, 35.64915778618082)	(127, 35.657658051814124)	(132, 35.240607518984966)	(137, 35.82621331916623)	(142, 35.389649676552395)	(147, 35.25608300259383)	(152, 35.65982061939435)	(157, 35.63833244788899)	(162, 35.6607081471296)	(167, 34.88112128504016)	(172, 34.84669520922529)	(177, 35.04682646332698)	(182, 34.14799837494922)	(187, 34.681627550860966)	(192, 34.583149473421045)	(197, 34.62475077346166)	(202, 33.80856276758649)	(207, 33.69633426044564)	(212, 34.10034688584018)	(217, 32.6407512734773)	(222, 32.58597456170505)	(227, 32.96924903903247)	(232, 32.32924153879809)	(237, 30.350104690771587)	(242, 31.442201318791216)	(247, 31.23751992249758)	(252, 27.809612800400014)	(257, 23.551242226319577)	(262, 25.623744492015373)	(267, 23.621806931466608)	(272, 25.998406200193756)	(277, 27.28529641551298)	(282, 22.06109565923935)	(287, 22.61745054532954)	(292, 24.617875558611207)	(297, 25.555479858745585)	(300, 36.4825463295728)
SRR29282892	(1, 32.518646111446046)	(2, 32.933597450693306)	(3, 32.93704245973645)	(4, 33.255332586914705)	(5, 33.340768811184795)	(6, 36.41934372577728)	(7, 36.43378405534981)	(8, 33.26873941377429)	(9, 34.018402089972156)	(12, 35.65969626503603)	(17, 37.285757758447446)	(22, 37.6710475698332)	(27, 36.654092383659176)	(32, 36.809801050727756)	(37, 37.41000775127035)	(42, 37.97863520225074)	(47, 37.306737863520226)	(52, 38.18663336491259)	(57, 37.19910429764879)	(62, 37.36700829673011)	(67, 36.676519392530075)	(72, 36.95948669365257)	(77, 34.49823443286538)	(82, 36.48076823701662)	(87, 35.8175752878018)	(92, 37.28413860419717)	(97, 35.94415640341056)	(102, 35.64388367352798)	(107, 37.4939052048345)	(112, 34.82321936095082)	(117, 35.172629403152186)	(122, 35.28665346079867)	(127, 35.73445870295409)	(132, 35.14799758849367)	(137, 34.82052077053369)	(142, 35.776602646915286)	(147, 33.90595125312204)	(152, 34.715557086670685)	(157, 33.73333907501507)	(162, 34.70264404444062)	(167, 33.760945080814174)	(172, 34.198541612838405)	(177, 34.115936037665435)	(182, 34.46881979731863)	(187, 32.82557919214538)	(192, 33.462572847587055)	(197, 32.41325180145265)	(202, 33.08645250193781)	(207, 32.571498291849686)	(212, 33.01879252433038)	(217, 32.55857376625614)	(222, 30.549467459018746)	(227, 32.35613929319898)	(232, 30.18548502856487)	(237, 32.01991789395114)	(242, 31.61721356185227)	(247, 31.22121551402406)	(252, 31.524502626819395)	(257, 30.94597651652169)	(262, 31.245990870726036)	(267, 30.71133695059283)	(272, 31.32671317428875)	(277, 31.032687394137742)	(282, 31.71477621795424)	(287, 29.387425761733756)	(292, 28.49989920250224)	(297, 19.986152895119034)	(300, 24.59363789139856)
SRR29282893	(1, 32.62026714158504)	(2, 32.95084594835263)	(3, 32.776384683882455)	(4, 33.022902938557436)	(5, 33.176847729296526)	(6, 36.535565449688335)	(7, 36.46628673196794)	(8, 33.16612644701692)	(9, 33.821905609973285)	(12, 35.567750667853964)	(17, 37.26284594835262)	(22, 37.391629563668744)	(27, 36.47915939447908)	(32, 36.81227426536064)	(37, 37.32485129118432)	(42, 37.91606055209261)	(47, 37.4826286731968)	(52, 38.219982190561)	(57, 37.330457702582365)	(62, 37.59498486197685)	(67, 36.67451469278718)	(72, 36.87128049866429)	(77, 34.01359928762244)	(82, 36.78544612644701)	(87, 36.13710418521817)	(92, 37.631715048975956)	(97, 36.14589492430988)	(102, 35.89541585040072)	(107, 37.65007301869991)	(112, 35.1133463935886)	(117, 35.916908281389134)	(122, 35.98021727515584)	(127, 36.38126447016919)	(132, 35.69024398931434)	(137, 35.30503294746215)	(142, 36.44315583259127)	(147, 34.086425645592165)	(152, 35.20326268922529)	(157, 34.37020837043634)	(162, 35.50764024933214)	(167, 34.253250222617986)	(172, 34.77416206589492)	(177, 34.58385040071237)	(182, 34.81389848619769)	(187, 33.61480320569902)	(192, 33.86098664292075)	(197, 32.80946749777382)	(202, 33.306322350845946)	(207, 32.97710418521817)	(212, 33.35597506678539)	(217, 32.947946571683)	(222, 31.213057880676764)	(227, 32.5980124666073)	(232, 30.66182012466607)	(237, 32.92046304541407)	(242, 31.700067675868205)	(247, 31.551323241317895)	(252, 31.726553873552984)	(257, 30.419626001780944)	(262, 30.564502226179876)	(267, 31.517998219056103)	(272, 31.291291184327697)	(277, 30.81706856634016)	(282, 31.780272765698545)	(287, 29.074953724767187)	(292, 28.73434040450577)	(297, 20.549072681459272)	(300, 24.862207641331242)
SRR29282894	(1, 32.463841104572204)	(2, 32.94686509732911)	(3, 32.88365776369398)	(4, 33.224960389316436)	(5, 33.294194205522864)	(6, 36.41661951109099)	(7, 36.42838954277954)	(8, 33.22538478949751)	(9, 34.00466840199185)	(12, 35.68560434585785)	(17, 37.33507808963332)	(22, 37.455256903576284)	(27, 36.50182209144409)	(32, 36.70305568130376)	(37, 37.32160479855138)	(42, 37.96905273879584)	(47, 37.496836803983705)	(52, 38.23723970122227)	(57, 37.29062358533273)	(62, 37.61332050701675)	(67, 36.650045269352646)	(72, 36.85328768673608)	(77, 34.017915346310545)	(82, 36.72385694884563)	(87, 36.03501018560435)	(92, 37.537811226799455)	(97, 36.10440810321412)	(102, 35.87012222725215)	(107, 37.588626075147126)	(112, 35.053146220009054)	(117, 35.49021050248981)	(122, 35.52013920325938)	(127, 36.0879753282028)	(132, 35.49766296966953)	(137, 35.25514373019466)	(142, 36.22668062471706)	(147, 34.155149388863734)	(152, 34.93464803078316)	(157, 34.363937301946585)	(162, 35.43067564508827)	(167, 34.18871095518334)	(172, 34.87850271616116)	(177, 34.59193639655953)	(182, 34.930138071525576)	(187, 33.874796287913085)	(192, 34.148885242191035)	(197, 33.06216047985514)	(202, 33.61836238116795)	(207, 33.195637166138525)	(212, 33.47449071978271)	(217, 33.08357854232685)	(222, 31.796423721140787)	(227, 32.58185264825713)	(232, 31.136311679492984)	(237, 33.16364870982345)	(242, 32.128383884110455)	(247, 31.8164667270258)	(252, 32.31138524219104)	(257, 31.178864870982345)	(262, 31.029028972385696)	(267, 31.702846310547756)	(272, 32.072708239022184)	(277, 31.633374830239934)	(282, 32.22692960615663)	(287, 29.88408849236623)	(292, 28.62302479242711)	(297, 20.121940597153177)	(300, 25.050460081128634)
SRR29282895	(1, 32.543583265215126)	(2, 32.94043991974437)	(3, 32.92606078620792)	(4, 33.25685516831389)	(5, 33.32733893141116)	(6, 36.46217581927621)	(7, 36.47053578063461)	(8, 33.24555993163409)	(9, 34.12350449580144)	(12, 35.71524113844096)	(17, 37.33111391840678)	(22, 37.479750315820766)	(27, 36.48783532733893)	(32, 36.58030764657799)	(37, 37.40033439845433)	(42, 38.008835550271236)	(47, 37.554031359143934)	(52, 38.28801367318125)	(57, 37.4229694582745)	(62, 37.648955933714795)	(67, 36.773196106115776)	(72, 36.85240395333284)	(77, 34.439243516385524)	(82, 36.97943077951995)	(87, 35.85013004384335)	(92, 37.77066954001635)	(97, 36.31612543657576)	(102, 35.941822100022286)	(107, 37.812982091105)	(112, 35.36725867578212)	(117, 36.17614624359069)	(122, 36.104243144831685)	(127, 36.009534071486954)	(132, 36.1236531173367)	(137, 35.93607044660771)	(142, 36.81200118897228)	(147, 34.42772534740284)	(152, 35.082715315449214)	(157, 34.89631418592554)	(162, 35.94182953109906)	(167, 34.97615367466746)	(172, 35.44078918035223)	(177, 35.15736048153377)	(182, 35.41559783012558)	(187, 34.509875901018056)	(192, 34.730103291967005)	(197, 33.85544326372892)	(202, 34.31601397042432)	(207, 33.88214312253846)	(212, 34.19667087761017)	(217, 33.833722226350595)	(222, 32.448866760793635)	(227, 33.70790666567586)	(232, 31.351081221669023)	(237, 33.72337073641971)	(242, 32.96284461618488)	(247, 32.29696812068069)	(252, 32.81021029947239)	(257, 31.51333135171286)	(262, 31.393274875529464)	(267, 32.001062643977114)	(272, 32.401203834435606)	(277, 32.002296202719776)	(282, 32.31755337404088)	(287, 30.507005092235993)	(292, 30.116689272878894)	(297, 23.328748279656033)	(300, 25.626798745603523)
SRR29282896	(1, 32.534712133955196)	(2, 32.58031959629941)	(3, 32.95106659530545)	(4, 33.28897469225476)	(5, 33.40985549353926)	(6, 36.60455692331218)	(7, 36.48818717027296)	(8, 33.31546754339017)	(9, 34.168552641639266)	(12, 35.69985472895481)	(17, 37.35235109717869)	(22, 37.66531844942274)	(27, 36.88908937992202)	(32, 37.034429237709304)	(37, 37.523893264011015)	(42, 38.043137854576045)	(47, 37.54118051838826)	(52, 38.29435736677116)	(57, 37.354056120498505)	(62, 37.56660295129597)	(67, 36.90414404771006)	(72, 37.120154446058564)	(77, 34.7705787904274)	(82, 36.465073782399266)	(87, 35.91513112623289)	(92, 37.337128220811984)	(97, 36.405833779340924)	(102, 35.9322501720315)	(107, 37.58669623059867)	(112, 35.208884471289856)	(117, 35.461862527716185)	(122, 35.554247266610595)	(127, 35.881527639727814)	(132, 35.42944715288725)	(137, 35.165156554650764)	(142, 35.947325763657915)	(147, 33.9951752876859)	(152, 34.78433306571855)	(157, 34.24133501548343)	(162, 35.48348816760332)	(167, 34.4829988148488)	(172, 34.92955614175938)	(177, 34.82302251787284)	(182, 35.0770883511106)	(187, 33.71600718736858)	(192, 34.40614749397867)	(197, 33.18351492908209)	(202, 34.03426233895325)	(207, 33.6828535382498)	(212, 33.91904270367397)	(217, 33.49015559888366)	(222, 31.495400848721186)	(227, 33.3356654050541)	(232, 31.34670642657797)	(237, 33.0263715257866)	(242, 32.54220285200903)	(247, 32.06285124440876)	(252, 32.110716060710324)	(257, 31.396620407539093)	(262, 31.37455365676492)	(267, 30.963734373207934)	(272, 31.795404671789584)	(277, 31.4909966739305)	(282, 32.264923347478685)	(287, 29.944961967348185)	(292, 28.94226745958114)	(297, 20.946182859155442)	(300, 24.90148035677694)
SRR29282897	(1, 36.71735753211846)	(2, 30.33928439326314)	(3, 36.76790866273765)	(4, 35.031366360072006)	(5, 36.88405296772125)	(6, 36.789657978447956)	(7, 36.89973614775725)	(8, 36.928685917194784)	(9, 35.87988558183118)	(12, 36.87000715113555)	(17, 36.85880206149977)	(22, 36.775740389120415)	(27, 36.57154341232461)	(32, 36.66143072029197)	(37, 36.80171134071462)	(42, 36.80949374892116)	(47, 36.79031884200922)	(52, 36.7458239834291)	(57, 36.7885137967598)	(62, 36.64830222178383)	(67, 36.66024708406283)	(72, 36.51942396370182)	(77, 36.08837323995759)	(82, 36.553068823514906)	(87, 36.33654230266565)	(92, 36.59306586442433)	(97, 36.169264912583536)	(102, 36.46928710576283)	(107, 36.50109732942076)	(112, 35.938465711537994)	(117, 36.02739624688679)	(122, 36.18455354720982)	(127, 36.11392005523636)	(132, 35.71933519098464)	(137, 36.0142973392844)	(142, 35.78084482035854)	(147, 35.49492762557641)	(152, 35.997065568515275)	(157, 35.714028555224026)	(162, 35.976273025423524)	(167, 35.48698739920598)	(172, 35.424994451705174)	(177, 35.47343476438242)	(182, 34.64226567701526)	(187, 35.32029196360319)	(192, 34.66283135649644)	(197, 34.93220723497645)	(202, 34.18140704756738)	(207, 34.37686484353809)	(212, 34.672320173599985)	(217, 33.459023993292725)	(222, 33.546257983379775)	(227, 33.70658151061574)	(232, 32.29287598944591)	(237, 30.464907651715045)	(242, 31.966774344684733)	(247, 32.394491159716914)	(252, 28.301062806697406)	(257, 23.75768500480852)	(262, 26.40273715877987)	(267, 23.430971814662296)	(272, 26.449530244371562)	(277, 27.598554977436937)	(282, 21.85921140236234)	(287, 22.901265011219884)	(292, 24.570280867013537)	(297, 25.54171084753286)	(300, 36.55278277809287)
SRR29282898	(1, 36.69677318365795)	(2, 30.610545852993134)	(3, 36.770880386412934)	(4, 35.5492967195152)	(5, 36.88425501464702)	(6, 36.80017442250497)	(7, 36.89691182718755)	(8, 36.929917931975226)	(9, 35.924349828931774)	(12, 36.87664303763501)	(17, 36.87453207808762)	(22, 36.806936648851725)	(27, 36.68845457188219)	(32, 36.698329569086965)	(37, 36.828770768577115)	(42, 36.79293812473445)	(47, 36.83099800979449)	(52, 36.75368858874304)	(57, 36.745584650819566)	(62, 36.663132002057296)	(67, 36.692157695833984)	(72, 36.60122542990675)	(77, 36.187683087725574)	(82, 36.60121648516291)	(87, 36.38792906818131)	(92, 36.61408797155572)	(97, 36.33524452693486)	(102, 36.45567655806257)	(107, 36.61495561170867)	(112, 36.18592991793197)	(117, 36.26884769337418)	(122, 36.14613475256603)	(127, 36.19400702162392)	(132, 35.88503767973344)	(137, 36.12775330396475)	(142, 35.925664706276976)	(147, 35.727377624723275)	(152, 35.90283771998479)	(157, 35.84728191596413)	(162, 36.027017598783516)	(167, 35.66513115230663)	(172, 35.63102484402604)	(177, 35.663905722399875)	(182, 35.13084371296317)	(187, 35.41237058073749)	(192, 35.05155750352199)	(197, 35.044437487421455)	(202, 34.56972204208502)	(207, 34.93687694268656)	(212, 34.90438963304188)	(217, 33.96509313714529)	(222, 33.4822200854223)	(227, 33.55224848498401)	(232, 32.78775017330442)	(237, 30.896384087300703)	(242, 31.72828104385161)	(247, 31.781663275117957)	(252, 28.131760549207275)	(257, 24.14112569601288)	(262, 26.903674053534292)	(267, 22.697041525973297)	(272, 26.332793667121358)	(277, 27.603099353742255)	(282, 22.076249468905832)	(287, 23.395375567432186)	(292, 24.28803416892149)	(297, 25.57415416266017)	(300, 36.436436414052196)
