Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR29282889	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.00178903678259625)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.00178903678259625)	(32.0, 0.00178903678259625)	(33.0, 0.00178903678259625)	(34.0, 0.010734220695577501)	(35.0, 0.0322026620867325)	(36.0, 0.035780735651925)	(37.0, 0.04114784599971376)	(38.0, 0.08050665521683126)	(39.0, 0.1109202805209675)	(40.0, 0.18784886217260627)	(41.0, 0.32918276799771007)	(42.0, 0.7120366394733075)	(43.0, 1.4204952053814228)	(44.0, 2.5762129669386002)	(45.0, 4.2435952483183055)	(46.0, 6.020108773436382)	(47.0, 7.852082438814942)	(48.0, 8.458565908115071)	(49.0, 9.23142979819665)	(50.0, 9.845069414627165)	(51.0, 10.39609274366681)	(52.0, 10.716330327751539)	(53.0, 9.676899957063117)	(54.0, 7.916487762988407)	(55.0, 5.062974094747387)	(56.0, 2.2792328610276225)	(57.0, 1.0537426649491914)	(58.0, 0.5385000715614713)	(59.0, 0.2540432231286675)	(60.0, 0.08587376556462001)	(61.0, 0.0679833977386575)	(62.0, 0.09124087591240876)	(63.0, 0.12702161156433375)	(64.0, 0.12702161156433375)	(65.0, 0.15743523686847002)	(66.0, 0.12165450121654502)	(67.0, 0.08766280234721625)	(68.0, 0.03399169886932875)	(69.0, 0.00894518391298125)	(70.0, 0.00178903678259625)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29282890	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0021829294913774284)	(12.0, 0.0021829294913774284)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0021829294913774284)	(31.0, 0.004365858982754857)	(32.0, 0.0)	(33.0, 0.01309757694826457)	(34.0, 0.019646365422396856)	(35.0, 0.02619515389652914)	(36.0, 0.030561012879284)	(37.0, 0.05675616677581314)	(38.0, 0.08513425016371971)	(39.0, 0.15717092337917485)	(40.0, 0.244488103034272)	(41.0, 0.34708578912901117)	(42.0, 0.6548788474132285)	(43.0, 1.4079895219384413)	(44.0, 2.575856799825366)	(45.0, 4.348395546823838)	(46.0, 6.1973368260205195)	(47.0, 8.343156516044532)	(48.0, 9.596158044095175)	(49.0, 9.67037764680201)	(50.0, 10.172451429818818)	(51.0, 12.268063741541148)	(52.0, 13.178345339445535)	(53.0, 10.953940187731936)	(54.0, 6.055446409080987)	(55.0, 2.4317834533944556)	(56.0, 0.8185985592665358)	(57.0, 0.2204758786291203)	(58.0, 0.05239030779305828)	(59.0, 0.01309757694826457)	(60.0, 0.010914647456887142)	(61.0, 0.006548788474132285)	(62.0, 0.004365858982754857)	(63.0, 0.010914647456887142)	(64.0, 0.004365858982754857)	(65.0, 0.006548788474132285)	(66.0, 0.004365858982754857)	(67.0, 0.0021829294913774284)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29282891	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.002348134407213469)	(31.0, 0.002348134407213469)	(32.0, 0.004696268814426938)	(33.0, 0.004696268814426938)	(34.0, 0.009392537628853876)	(35.0, 0.009392537628853876)	(36.0, 0.014088806443280814)	(37.0, 0.011740672036067344)	(38.0, 0.028177612886561627)	(39.0, 0.06339962899476366)	(40.0, 0.10801418273181956)	(41.0, 0.17141381172658324)	(42.0, 0.3545682954892338)	(43.0, 0.6433888275764904)	(44.0, 1.1952004132716556)	(45.0, 1.9888698429098084)	(46.0, 2.9539530842745436)	(47.0, 3.9871322234484703)	(48.0, 4.61643224458168)	(49.0, 4.94751919599878)	(50.0, 6.375184915584568)	(51.0, 7.715969662103459)	(52.0, 8.793763355014441)	(53.0, 9.521685021250615)	(54.0, 9.472374198699134)	(55.0, 9.037969333364641)	(56.0, 7.633784957850988)	(57.0, 5.558034141874281)	(58.0, 3.7851926644281115)	(59.0, 1.3595698217765986)	(60.0, 0.4391011341489187)	(61.0, 0.45553807499941296)	(62.0, 0.7983656984525794)	(63.0, 1.2726888487097001)	(64.0, 1.5990795313123725)	(65.0, 1.8902481978068424)	(66.0, 1.6601310258999227)	(67.0, 1.0519642144316341)	(68.0, 0.375701505154155)	(69.0, 0.07279216662361754)	(70.0, 0.011740672036067344)	(71.0, 0.002348134407213469)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29282892	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.001988111095648064)	(37.0, 0.0)	(38.0, 0.0014910833217360482)	(39.0, 0.0)	(40.0, 0.0029821666434720964)	(41.0, 0.006461361060856209)	(42.0, 0.015904888765184512)	(43.0, 0.024354360921688786)	(44.0, 0.01888705540865661)	(45.0, 0.034294916399929105)	(46.0, 0.0974174436867552)	(47.0, 1.4120559056840514)	(48.0, 2.978190421280736)	(49.0, 2.807709894828926)	(50.0, 3.723235054374917)	(51.0, 7.441499831010678)	(52.0, 14.85118988449113)	(53.0, 13.011193065468053)	(54.0, 11.403805244636466)	(55.0, 9.17264756754588)	(56.0, 3.6864549991054263)	(57.0, 1.4463508220839776)	(58.0, 1.6585816815444048)	(59.0, 9.087655818206912)	(60.0, 5.452891707588923)	(61.0, 0.6555796337899467)	(62.0, 0.22664466490387933)	(63.0, 0.13270641563450822)	(64.0, 0.16849241535617332)	(65.0, 0.22167438716475915)	(66.0, 0.270880136782049)	(67.0, 0.5134296904511122)	(68.0, 1.1560866021193543)	(69.0, 5.280423070041438)	(70.0, 2.8559215888983873)	(71.0, 0.1217718046084439)	(72.0, 0.02037813873039266)	(73.0, 0.01689894431300855)	(74.0, 0.010437583252152336)	(75.0, 0.006958388834768224)	(76.0, 0.0014910833217360482)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0014910833217360482)	(83.0, 0.0014910833217360482)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29282893	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.03643999752949294)	(43.0, 0.07473287628929907)	(44.0, 0.0352047433759508)	(45.0, 0.033969489222408666)	(46.0, 0.08214440121055187)	(47.0, 1.5310975233154853)	(48.0, 3.8601692298190935)	(49.0, 4.500648508430754)	(50.0, 8.413933666852389)	(51.0, 15.747019949354025)	(52.0, 16.46284973133201)	(53.0, 13.628559076029406)	(54.0, 12.67308998826478)	(55.0, 8.732011611389417)	(56.0, 3.160397751837508)	(57.0, 1.2550182199988096)	(58.0, 1.1605212772528346)	(59.0, 4.91631153109773)	(60.0, 3.147427583225308)	(61.0, 0.30140201346428064)	(62.0, 0.09511456982274431)	(63.0, 0.06917423259835946)	(64.0, 0.03829287875980613)	(65.0, 0.012352541535421332)	(66.0, 0.004323389537397466)	(67.0, 0.004323389537397466)	(68.0, 0.004323389537397466)	(69.0, 0.009264406151566)	(70.0, 0.007411524921252801)	(71.0, 0.0024705083070842666)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29282894	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.001954518357813673)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.001954518357813673)	(34.0, 0.0)	(35.0, 0.001954518357813673)	(36.0, 0.001954518357813673)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0034204071261739275)	(40.0, 0.001954518357813673)	(41.0, 0.0034204071261739275)	(42.0, 0.02296559070431066)	(43.0, 0.057658291555503345)	(44.0, 0.01661340604141622)	(45.0, 0.01954518357813673)	(46.0, 0.06547636498675805)	(47.0, 1.2137559002022988)	(48.0, 3.4971219717181032)	(49.0, 7.526850195940381)	(50.0, 12.225023698534107)	(51.0, 17.49440519120211)	(52.0, 16.695007182855957)	(53.0, 12.259227769795876)	(54.0, 8.794843980571752)	(55.0, 6.880393249093639)	(56.0, 4.010671670233696)	(57.0, 1.2836299314941373)	(58.0, 0.7246376811594166)	(59.0, 3.3471126877558883)	(60.0, 2.051267016525436)	(61.0, 0.24773520185288317)	(62.0, 0.06938540170238541)	(63.0, 0.04886295894534181)	(64.0, 0.13388450751023656)	(65.0, 0.20375853880207528)	(66.0, 0.052283366071515736)	(67.0, 0.04739707017698156)	(68.0, 0.18421335522393845)	(69.0, 0.5203905127678895)	(70.0, 0.2418716467794421)	(71.0, 0.035181330440646114)	(72.0, 0.006352184662894437)	(73.0, 0.002931777536720509)	(74.0, 0.0014658887683602546)	(75.0, 0.0)	(76.0, 0.0014658887683602546)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29282895	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.002584730703369857)	(36.0, 0.005169461406739714)	(37.0, 0.005169461406739714)	(38.0, 0.001938548027527393)	(39.0, 0.004523278730897249)	(40.0, 0.002584730703369857)	(41.0, 0.0)	(42.0, 0.009046557461794499)	(43.0, 0.008400374785952035)	(44.0, 0.012277470841006822)	(45.0, 0.01486220154437668)	(46.0, 0.04394042195728756)	(47.0, 0.6552292333042579)	(48.0, 1.9236858259830358)	(49.0, 2.442570514684512)	(50.0, 3.480339892087455)	(51.0, 17.991664243481264)	(52.0, 20.698523472586533)	(53.0, 18.596491228070075)	(54.0, 12.616716745823501)	(55.0, 8.775806920616652)	(56.0, 3.457077315757131)	(57.0, 0.8820393525249609)	(58.0, 0.7217860489160317)	(59.0, 3.256760686245974)	(60.0, 2.540790281412561)	(61.0, 0.5977189751542794)	(62.0, 0.08271138250783544)	(63.0, 0.03166295111628076)	(64.0, 0.009046557461794499)	(65.0, 0.010338922813479428)	(66.0, 0.01486220154437668)	(67.0, 0.060094988853349185)	(68.0, 0.12212852573422579)	(69.0, 0.5712254854447387)	(70.0, 0.32502988594875976)	(71.0, 0.020031662951116396)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.002584730703369857)	(75.0, 0.002584730703369857)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29282896	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.00264104849625303)	(39.0, 0.00528209699250606)	(40.0, 0.00528209699250606)	(41.0, 0.00264104849625303)	(42.0, 0.017827077349707954)	(43.0, 0.08451355188009696)	(44.0, 0.03367336832722613)	(45.0, 0.00990393186094886)	(46.0, 0.02376943646627727)	(47.0, 0.23571357829058262)	(48.0, 1.7100789013238507)	(49.0, 4.142484566372798)	(50.0, 4.707008682446948)	(51.0, 7.907299197781907)	(52.0, 9.384305569311156)	(53.0, 9.889406094219439)	(54.0, 11.695883265656114)	(55.0, 11.56118979234725)	(56.0, 4.787560661582675)	(57.0, 1.223465715889217)	(58.0, 1.5265260308342588)	(59.0, 10.831600145257497)	(60.0, 9.032385857185515)	(61.0, 2.1300056122280844)	(62.0, 0.34993892575352675)	(63.0, 0.18025155986926925)	(64.0, 0.46944637020897695)	(65.0, 0.30768214981347797)	(66.0, 0.14855897791423298)	(67.0, 0.35654154699415913)	(68.0, 0.8827704598725725)	(69.0, 4.027598956785782)	(70.0, 2.209897329239735)	(71.0, 0.107622726222311)	(72.0, 0.009243669736885604)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29282897	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0018490440442291336)	(26.0, 0.0018490440442291336)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0018490440442291336)	(33.0, 0.005547132132687401)	(34.0, 0.009245220221145668)	(35.0, 0.009245220221145668)	(36.0, 0.022188528530749603)	(37.0, 0.035131836840353536)	(38.0, 0.06286749750379055)	(39.0, 0.10909359860951887)	(40.0, 0.13867830331718503)	(41.0, 0.26071521023630784)	(42.0, 0.4881476276764912)	(43.0, 1.0872378980067305)	(44.0, 2.024703228430901)	(45.0, 3.7036352205909546)	(46.0, 5.937280426019748)	(47.0, 8.51484782367516)	(48.0, 10.757738249325099)	(49.0, 12.508782959210087)	(50.0, 13.302022854184386)	(51.0, 13.024666247550018)	(52.0, 11.839429015199142)	(53.0, 9.006693539440109)	(54.0, 4.92955142191487)	(55.0, 1.7177619170888652)	(56.0, 0.3642616767131393)	(57.0, 0.0776598498576236)	(58.0, 0.0166413963980622)	(59.0, 0.005547132132687401)	(60.0, 0.0018490440442291336)	(61.0, 0.003698088088458267)	(62.0, 0.003698088088458267)	(63.0, 0.005547132132687401)	(64.0, 0.005547132132687401)	(65.0, 0.003698088088458267)	(66.0, 0.011094264265374802)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29282898	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0016745369905221206)	(6.0, 0.0016745369905221206)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0016745369905221206)	(12.0, 0.0016745369905221206)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0016745369905221206)	(28.0, 0.0016745369905221206)	(29.0, 0.0016745369905221206)	(30.0, 0.0066981479620884824)	(31.0, 0.0033490739810442412)	(32.0, 0.0033490739810442412)	(33.0, 0.008372684952610603)	(34.0, 0.016745369905221207)	(35.0, 0.028467128838876053)	(36.0, 0.04186342476305301)	(37.0, 0.0653069426303627)	(38.0, 0.10214675642184937)	(39.0, 0.1473592551659466)	(40.0, 0.22438795672996414)	(41.0, 0.47724304229880443)	(42.0, 1.2039920961854047)	(43.0, 2.6424193710439066)	(44.0, 4.9197896781539905)	(45.0, 8.124853478013328)	(46.0, 11.452158478180783)	(47.0, 12.855420476238319)	(48.0, 11.869118188820792)	(49.0, 8.451388191165144)	(50.0, 6.184065105998191)	(51.0, 6.390033155832413)	(52.0, 6.379985933889279)	(53.0, 5.304933185974078)	(54.0, 4.454268394788841)	(55.0, 3.6588633242908335)	(56.0, 2.3811916005224556)	(57.0, 1.19227033725175)	(58.0, 0.4822666532703707)	(59.0, 0.17247731002377842)	(60.0, 0.0485615727251415)	(61.0, 0.04186342476305301)	(62.0, 0.06363240563984059)	(63.0, 0.08875046049767239)	(64.0, 0.12056666331759268)	(65.0, 0.15238286613751298)	(66.0, 0.12056666331759268)	(67.0, 0.06028333165879634)	(68.0, 0.03516527680096453)	(69.0, 0.010047221943132725)	(70.0, 0.0)	(71.0, 0.0016745369905221206)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
