Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR29282889	(20.0, 1.0)	(21.0, 3.0)	(22.0, 25.0)	(23.0, 47.0)	(24.0, 104.0)	(25.0, 144.0)	(26.0, 212.0)	(27.0, 300.0)	(28.0, 383.0)	(29.0, 719.0)	(30.0, 1072.0)	(31.0, 1784.0)	(32.0, 3558.0)	(33.0, 8571.0)	(34.0, 18566.0)	(35.0, 6418.0)								
SRR29282890	(19.0, 1.0)	(20.0, 1.0)	(21.0, 8.0)	(22.0, 16.0)	(23.0, 56.0)	(24.0, 110.0)	(25.0, 181.0)	(26.0, 273.0)	(27.0, 409.0)	(28.0, 609.0)	(29.0, 960.0)	(30.0, 1611.0)	(31.0, 2612.0)	(32.0, 4805.0)	(33.0, 9473.0)	(34.0, 11188.0)	(35.0, 2004.0)							
SRR29282891	(21.0, 5.0)	(22.0, 19.0)	(23.0, 38.0)	(24.0, 75.0)	(25.0, 147.0)	(26.0, 200.0)	(27.0, 295.0)	(28.0, 420.0)	(29.0, 702.0)	(30.0, 1019.0)	(31.0, 1781.0)	(32.0, 3398.0)	(33.0, 7038.0)	(34.0, 12741.0)	(35.0, 4121.0)									
SRR29282892	(17.0, 2.0)	(18.0, 2.0)	(19.0, 9.0)	(20.0, 16.0)	(21.0, 46.0)	(22.0, 145.0)	(23.0, 266.0)	(24.0, 341.0)	(25.0, 407.0)	(26.0, 477.0)	(27.0, 647.0)	(28.0, 888.0)	(29.0, 1255.0)	(30.0, 1594.0)	(31.0, 1922.0)	(32.0, 2275.0)	(33.0, 2526.0)	(34.0, 2926.0)	(35.0, 3775.0)	(36.0, 6201.0)	(37.0, 9095.0)	(38.0, 18.0)		
SRR29282893	(16.0, 5.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 1.0)	(20.0, 13.0)	(21.0, 20.0)	(22.0, 71.0)	(23.0, 175.0)	(24.0, 224.0)	(25.0, 270.0)	(26.0, 343.0)	(27.0, 447.0)	(28.0, 590.0)	(29.0, 840.0)	(30.0, 1150.0)	(31.0, 1515.0)	(32.0, 1887.0)	(33.0, 2102.0)	(34.0, 2538.0)	(35.0, 3163.0)	(36.0, 4927.0)	(37.0, 7787.0)	(38.0, 5.0)	
SRR29282894	(18.0, 3.0)	(19.0, 4.0)	(20.0, 17.0)	(21.0, 50.0)	(22.0, 141.0)	(23.0, 374.0)	(24.0, 361.0)	(25.0, 408.0)	(26.0, 446.0)	(27.0, 498.0)	(28.0, 697.0)	(29.0, 928.0)	(30.0, 1206.0)	(31.0, 1651.0)	(32.0, 2001.0)	(33.0, 2367.0)	(34.0, 2997.0)	(35.0, 3829.0)	(36.0, 5984.0)	(37.0, 11369.0)	(38.0, 13.0)			
SRR29282895	(16.0, 1.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 4.0)	(20.0, 10.0)	(21.0, 20.0)	(22.0, 64.0)	(23.0, 140.0)	(24.0, 177.0)	(25.0, 214.0)	(26.0, 256.0)	(27.0, 322.0)	(28.0, 439.0)	(29.0, 624.0)	(30.0, 908.0)	(31.0, 1218.0)	(32.0, 1507.0)	(33.0, 1687.0)	(34.0, 2053.0)	(35.0, 2942.0)	(36.0, 4810.0)	(37.0, 9507.0)	(38.0, 7.0)	
SRR29282896	(15.0, 2.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 10.0)	(21.0, 27.0)	(22.0, 71.0)	(23.0, 140.0)	(24.0, 253.0)	(25.0, 276.0)	(26.0, 310.0)	(27.0, 399.0)	(28.0, 463.0)	(29.0, 722.0)	(30.0, 961.0)	(31.0, 1246.0)	(32.0, 1462.0)	(33.0, 1679.0)	(34.0, 2112.0)	(35.0, 2937.0)	(36.0, 5249.0)	(37.0, 7835.0)	(38.0, 1.0)
SRR29282897	(18.0, 1.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 2.0)	(22.0, 6.0)	(23.0, 35.0)	(24.0, 68.0)	(25.0, 119.0)	(26.0, 209.0)	(27.0, 229.0)	(28.0, 410.0)	(29.0, 608.0)	(30.0, 1000.0)	(31.0, 1696.0)	(32.0, 3393.0)	(33.0, 8363.0)	(34.0, 18077.0)	(35.0, 6335.0)	(36.0, 2.0)					
SRR29282898	(19.0, 1.0)	(20.0, 1.0)	(21.0, 6.0)	(22.0, 18.0)	(23.0, 47.0)	(24.0, 62.0)	(25.0, 135.0)	(26.0, 195.0)	(27.0, 269.0)	(28.0, 389.0)	(29.0, 608.0)	(30.0, 961.0)	(31.0, 1586.0)	(32.0, 3281.0)	(33.0, 8707.0)	(34.0, 20717.0)	(35.0, 7734.0)	(36.0, 2.0)						
SRR29282899	(21.0, 2.0)	(22.0, 8.0)	(23.0, 20.0)	(24.0, 71.0)	(25.0, 107.0)	(26.0, 153.0)	(27.0, 221.0)	(28.0, 320.0)	(29.0, 470.0)	(30.0, 793.0)	(31.0, 1421.0)	(32.0, 2658.0)	(33.0, 7206.0)	(34.0, 17438.0)	(35.0, 6055.0)	(36.0, 1.0)								
SRR29282900	(20.0, 3.0)	(21.0, 3.0)	(22.0, 15.0)	(23.0, 23.0)	(24.0, 70.0)	(25.0, 96.0)	(26.0, 145.0)	(27.0, 228.0)	(28.0, 310.0)	(29.0, 496.0)	(30.0, 802.0)	(31.0, 1344.0)	(32.0, 2552.0)	(33.0, 6943.0)	(34.0, 15832.0)	(35.0, 5222.0)								
SRR29282901	(19.0, 2.0)	(20.0, 0.0)	(21.0, 4.0)	(22.0, 10.0)	(23.0, 28.0)	(24.0, 91.0)	(25.0, 234.0)	(26.0, 347.0)	(27.0, 417.0)	(28.0, 546.0)	(29.0, 835.0)	(30.0, 1182.0)	(31.0, 1841.0)	(32.0, 2870.0)	(33.0, 5402.0)	(34.0, 14468.0)	(35.0, 27758.0)	(36.0, 2673.0)						
SRR29282902	(21.0, 6.0)	(22.0, 14.0)	(23.0, 33.0)	(24.0, 114.0)	(25.0, 296.0)	(26.0, 360.0)	(27.0, 440.0)	(28.0, 615.0)	(29.0, 894.0)	(30.0, 1321.0)	(31.0, 1853.0)	(32.0, 3122.0)	(33.0, 5922.0)	(34.0, 16192.0)	(35.0, 23957.0)	(36.0, 1415.0)								
