Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR29282889	(1.0, 4.08046388431527)	(2.0, 1.3887894623809864)	(3.0, 1.095282411053046)	(4.0, 0.6204214093110936)	(5.0, 0.5249719617247716)	(6.0, 0.4008876798625528)	(7.0, 0.31736941322452095)	(8.0, 0.2863483427589663)	(9.0, 0.12885675424153484)	('>10', 6.679075094852889)	('>50', 3.691507385401007)	('>100', 28.39859689312048)	('>500', 15.971078817381345)	('>1k', 36.416350490371535)	('>5k', 0.0)	('>10k+', 0.0)
SRR29282890	(1.0, 3.5871433983157037)	(2.0, 1.7892006877058018)	(3.0, 1.0752688172043012)	(4.0, 0.8392341987936008)	(5.0, 0.7867820613690008)	(6.0, 0.2972287787394003)	(7.0, 0.46915522918670044)	(8.0, 0.4196170993968004)	(9.0, 0.34093889325990034)	('>10', 3.7124457266078035)	('>50', 2.019407290847102)	('>100', 16.295130693242417)	('>500', 8.331147827607309)	('>1k', 60.037299297724154)	('>5k', 0.0)	('>10k+', 0.0)
SRR29282891	(1.0, 4.290759086221444)	(2.0, 1.8313072283508858)	(3.0, 1.321916309884684)	(4.0, 0.787524610144067)	(5.0, 0.5156411137848058)	(6.0, 0.5062658208069002)	(7.0, 0.1531297853057908)	(8.0, 0.3750117191162224)	(9.0, 0.33751054720460016)	('>10', 4.46888965280165)	('>50', 5.506422075689866)	('>100', 23.285102659458108)	('>500', 18.35057345542048)	('>1k', 38.2699459358105)	('>5k', 0.0)	('>10k+', 0.0)
SRR29282892	(1.0, 5.204834496023886)	(2.0, 2.3598311945568855)	(3.0, 1.4124537076909827)	(4.0, 0.872735624264347)	(5.0, 0.5454597651652169)	(6.0, 0.31005081388338646)	(7.0, 0.4823012660408234)	(8.0, 0.3215341773605489)	(9.0, 0.38756351735423306)	('>10', 6.281399822007866)	('>50', 3.0574455257945052)	('>100', 25.079665834122817)	('>500', 14.862343180317513)	('>1k', 38.82238107541699)	('>5k', 0.0)	('>10k+', 0.0)
SRR29282893	(1.0, 5.581478183437222)	(2.0, 2.728406055209261)	(3.0, 1.6242208370436333)	(4.0, 1.0970614425645593)	(5.0, 0.8726625111308993)	(6.0, 0.6625111308993766)	(7.0, 0.7230632235084595)	(8.0, 0.3134461264470169)	(9.0, 0.28851291184327693)	('>10', 6.379341050756901)	('>50', 1.8414959928762242)	('>100', 12.487978628673197)	('>500', 16.03205699020481)	('>1k', 49.36776491540517)	('>5k', 0.0)	('>10k+', 0.0)
SRR29282894	(1.0, 4.758940697148031)	(2.0, 2.2125396106835673)	(3.0, 1.442960615663196)	(4.0, 1.041195110909914)	(5.0, 0.7497736532367587)	(6.0, 0.560208239022182)	(7.0, 0.4357175192394749)	(8.0, 0.29425079221367134)	(9.0, 0.22917609778180173)	('>10', 5.3106609325486644)	('>50', 2.9113852421910367)	('>100', 15.456654594839295)	('>500', 20.710728836577637)	('>1k', 43.88580805794477)	('>5k', 0.0)	('>10k+', 0.0)
SRR29282895	(1.0, 5.038270045329568)	(2.0, 2.526566099427807)	(3.0, 1.5939659656684253)	(4.0, 1.2038344356097197)	(5.0, 0.8917292115627554)	(6.0, 0.5573307572267222)	(7.0, 0.44214906739986626)	(8.0, 0.3269673775730103)	(9.0, 0.13375938173441332)	('>10', 4.785613435386788)	('>50', 1.4304822768819203)	('>100', 8.776101657130118)	('>500', 30.827821951400757)	('>1k', 41.46540833766813)	('>5k', 0.0)	('>10k+', 0.0)
SRR29282896	(1.0, 5.451487116752046)	(2.0, 2.714274791650738)	(3.0, 1.3533144735836073)	(4.0, 0.9633764049239238)	(5.0, 0.5925529474730484)	(6.0, 0.5046257359125316)	(7.0, 0.21408364553864973)	(8.0, 0.45875066901139233)	(9.0, 0.3096567015826898)	('>10', 5.780258429543543)	('>50', 5.703799984708311)	('>100', 24.47052526951602)	('>500', 22.696689349338634)	('>1k', 28.786604480464867)	('>5k', 0.0)	('>10k+', 0.0)
SRR29282897	(1.0, 3.928192735432644)	(2.0, 1.8149088846694448)	(3.0, 1.1984316819963998)	(4.0, 0.6509999260227357)	(5.0, 0.5918181145661233)	(6.0, 0.355090868739674)	(7.0, 0.2761817867975242)	(8.0, 0.2761817867975242)	(9.0, 0.26631815155475547)	('>10', 4.024363179049638)	('>50', 3.2821246270312923)	('>100', 21.81096343057234)	('>500', 17.451236653268563)	('>1k', 44.07318817350134)	('>5k', 0.0)	('>10k+', 0.0)
SRR29282898	(1.0, 2.247366891030658)	(2.0, 0.9705047071714483)	(3.0, 0.5970616516469509)	(4.0, 0.6082425814530736)	(5.0, 0.5590464903061338)	(6.0, 0.4830161676244996)	(7.0, 0.28175943111429147)	(8.0, 0.3220107784163331)	(9.0, 0.22138241016122903)	('>10', 5.366846306938885)	('>50', 2.6700060377020955)	('>100', 8.430421073816499)	('>500', 3.014378675730674)	('>1k', 25.06317225340459)	('>5k', 0.0)	('>10k+', 49.16478454348264)
