Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
SRR29282889	(300, 41907.0)																																		
SRR29282890	(300, 34317.0)																																		
SRR29282891	(300, 31999.0)																																		
SRR29282892	(285, 2.0)	(286, 1.0)	(287, 2.0)	(288, 5.0)	(289, 11.0)	(290, 63.0)	(291, 1818.0)	(292, 28520.0)	(293, 321.0)	(294, 2.0)	(295, 0.0)	(296, 0.0)	(297, 2.0)	(298, 2.0)	(299, 406.0)	(300, 32.0)	(301, 3646.0)																		
SRR29282893	(282, 1.0)	(283, 0.0)	(284, 1.0)	(285, 4.0)	(286, 0.0)	(287, 1.0)	(288, 3.0)	(289, 11.0)	(290, 54.0)	(291, 1501.0)	(292, 22682.0)	(293, 179.0)	(294, 2.0)	(295, 0.0)	(296, 0.0)	(297, 3.0)	(298, 3.0)	(299, 423.0)	(300, 24.0)	(301, 3183.0)															
SRR29282894	(285, 1.0)	(286, 5.0)	(287, 1.0)	(288, 2.0)	(289, 14.0)	(290, 92.0)	(291, 2598.0)	(292, 28640.0)	(293, 140.0)	(294, 0.0)	(295, 0.0)	(296, 0.0)	(297, 1.0)	(298, 3.0)	(299, 217.0)	(300, 32.0)	(301, 3598.0)																		
SRR29282895	(283, 1.0)	(284, 1.0)	(285, 1.0)	(286, 2.0)	(287, 5.0)	(288, 14.0)	(289, 25.0)	(290, 159.0)	(291, 1673.0)	(292, 21611.0)	(293, 100.0)	(294, 0.0)	(295, 0.0)	(296, 0.0)	(297, 3.0)	(298, 1.0)	(299, 204.0)	(300, 61.0)	(301, 3053.0)																
SRR29282896	(132, 1.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.0)	(232, 0.0)	(237, 0.0)	(242, 0.0)	(247, 0.0)	(252, 0.0)	(257, 0.0)	(262, 0.0)	(267, 0.0)	(272, 0.0)	(277, 0.0)	(282, 0.0)	(287, 25.0)	(292, 23181.0)	(297, 279.0)	(301, 2672.0)
SRR29282897	(300, 40553.0)																																		
SRR29282898	(300, 44719.0)																																		
SRR29282899	(300, 36944.0)																																		
SRR29282900	(300, 34084.0)																																		
SRR29282901	(300, 58708.0)																																		
SRR29282902	(300, 56554.0)																																		
