Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR29282889	93.9246426611306	50.0	300.0	300	36.36363636363637	0.041907
SRR29282890	94.2856310283533	49.0	300.0	300	45.45454545454545	0.034317
SRR29282891	93.4279196224882	53.0	300.0	300	36.36363636363637	0.031999
SRR29282892	92.13676685901301	55.0	292.98274624637554	292	45.45454545454545	0.034832999999999996
SRR29282893	91.35886019590383	53.0	293.07964381121997	292	45.45454545454545	0.028075
SRR29282894	92.61826618379357	52.0	292.8897125396107	292	45.45454545454545	0.035344
SRR29282895	92.12305863119566	53.0	293.01549379505093	292	36.36363636363637	0.026914
SRR29282896	91.677498279685	56.0	292.9617707775824	292	45.45454545454545	0.026157999999999997
SRR29282897	93.91906887283308	49.0	300.0	300	36.36363636363637	0.040553
SRR29282898	96.25886088687135	48.0	300.0	300	45.45454545454545	0.044718999999999995
SRR29282899	95.54190125595495	48.0	300.0	300	45.45454545454545	0.036944
SRR29282900	95.12087783124046	49.0	300.0	300	36.36363636363637	0.034083999999999996
SRR29282901	94.33807998909859	51.0	300.0	300	27.27272727272727	0.058707999999999996
SRR29282902	94.56271881741344	51.0	300.0	300	27.27272727272727	0.056554
